symbol,detected_at,signal_type,rank,total_score,score_slope,score_volume,score_rsi,score_hold,score_deviation,score_macd,score_weekly,entry_price,exit_price,return_pct,holding_days,rsi_value,volume_ratio,deviation_pct
8098.T,2025-06-12,GC,B,75,10,10,15,25,10,-10,15,3225,3205,-0.6202,10,63.08,1.39,3.27
3226.T,2025-06-17,GC,A,83,0,10,15,25,10,8,15,118900,117100,-1.5139,10,62.07,1.01,3.57
4264.T,2025-06-24,GC,D,0,-20,-15,-15,25,-10,-10,-10,1591,1500,-5.7197,10,30.48,0.35,-5.32
7774.T,2025-06-05,GC,D,35,-20,10,15,25,0,-10,15,597,605,1.34,10,56.83,1.16,14.38
8016.T,2025-06-15,GC,A,93,10,10,15,25,10,8,15,566,594,4.947,10,61.82,1.44,2.8
8097.T,2025-06-12,GC,B,68,20,-15,15,15,10,8,15,1800,1798,-0.1111,10,69.19,0.61,4.34
3558.T,2025-06-24,GC,A,100,20,20,15,25,0,8,15,1405,1365,-2.847,10,69.01,1.55,11.69
4901.T,2025-06-10,GC,B,65,20,0,5,25,10,-10,15,3169,3064,-3.3133,10,45.41,0.87,4.96
7707.T,2025-06-25,GC,D,0,10,0,-15,0,-10,-10,-10,200,199,-0.5,10,34.21,0.89,-2.41
2489.T,2025-06-05,GC,B,68,20,-15,15,25,0,8,15,318,328,3.1447,10,53.37,0.36,13.03
7974.T,2025-06-04,GC,B,75,20,10,15,25,0,-10,15,12090,13260,9.6774,10,61.1,1.18,9.56
4712.T,2025-06-04,GC,C,50,10,-15,15,25,10,-10,15,759,793,4.4796,10,53.7,0.64,2.97
5218.T,2025-06-11,GC,D,23,10,10,-5,0,10,8,-10,1090,1021,-6.3303,10,77.34,1.09,4.18
3645.T,2025-06-11,GC,D,0,-20,-15,-15,25,-10,-10,-10,306,300,-1.9608,10,27.5,0.09,-2.39
2791.T,2025-06-15,GC,D,0,-20,10,-15,25,-10,-10,15,6970,7020,0.7174,10,18.98,1.29,-4.95
6323.T,2025-06-16,GC,B,68,20,0,15,25,-15,8,15,1782,2053,15.2076,10,61.53,0.72,15.5
3851.T,2025-06-04,GC,C,48,10,-15,-5,25,10,8,15,867,833,-3.9216,10,71.96,0.4,7.66
5587.T,2025-06-08,GC,B,75,20,20,5,25,0,-10,15,894,986,10.2908,10,48.69,2.39,12.17
