symbol,detected_at,signal_type,rank,total_score,score_slope,score_volume,score_rsi,score_hold,score_deviation,score_macd,score_weekly,entry_price,exit_price,return_pct,holding_days,rsi_value,volume_ratio,deviation_pct
3924.T,2025-06-04,GC,A,85,20,10,15,25,10,-10,15,725,776,7.0345,20,51.56,1.37,6.07
5105.T,2025-06-23,GC,D,35,10,0,-15,25,10,-10,15,2923,3100,6.0554,20,23.77,0.87,7.27
4262.T,2025-06-04,GC,D,0,-20,0,5,25,10,-10,-10,1191,1191,0,20,48.99,0.74,0.67
9051.T,2025-06-19,GC,B,63,20,0,-5,25,0,8,15,1208,1234,2.1523,20,79.56,0.75,11.8
1364.T,2025-06-17,GC,C,50,10,-15,15,25,10,-10,15,2608,2636,1.0736,20,53.57,0.29,4.11
6727.T,2025-06-26,GC,C,48,20,-15,-5,25,0,8,15,675,710,5.1852,20,72.73,0.5,14.4
1477.T,2025-06-15,GC,D,20,-10,-15,5,25,10,-10,15,2622,2632,0.3814,20,45.16,0.11,1.69
3858.T,2025-06-12,GC,B,65,20,10,5,25,0,-10,15,420,381,-9.2857,20,47.73,1.33,10.56
2569.T,2025-06-18,GC,C,50,20,-15,5,25,10,-10,15,3314,3453,4.1943,20,49.86,0.11,7.82
3281.T,2025-06-05,GC,A,93,10,10,15,25,10,8,15,127300,130100,2.1995,20,58.43,1.05,2.88
3939.T,2025-06-30,GC,C,58,10,10,15,15,10,8,-10,427,442,3.5129,20,56.76,1.01,2.77
7218.T,2025-06-04,GC,C,50,10,-15,15,25,10,-10,15,1030,1078,4.6602,20,58.06,0.48,1.32
3682.T,2025-06-29,GC,B,63,-10,0,15,25,10,8,15,621,605,-2.5765,20,52.5,0.83,1.43
3909.T,2025-06-29,GC,D,0,-20,10,5,25,-10,-10,-10,320,337,5.3125,20,48.08,1.32,-0.49
168A.T,2025-06-16,GC,C,48,20,20,-5,15,0,8,-10,1097,1025,-6.5634,20,70.27,5.3,9.39
6125.T,2025-06-11,GC,A,85,20,10,15,25,10,-10,15,3985,4675,17.3149,20,63.24,1.25,7.7
9900.T,2025-06-22,GC,C,48,10,20,5,25,-10,8,-10,1706,1699,-0.4103,20,47.4,4.06,-0.28
8125.T,2025-06-15,GC,D,0,-20,0,-15,25,-10,-10,-10,1629,1709,4.911,20,5.19,0.75,-6.14
4998.T,2025-06-16,GC,D,15,-10,20,-15,25,-10,-10,15,1088,1102,1.2868,20,37.35,1.6,-1.03
3261.T,2025-06-03,GC,B,65,10,10,5,25,10,-10,15,1141,1002,-12.1823,20,46.03,1.13,5.54
8125.T,2025-06-08,GC,D,0,-20,-15,-15,25,-10,-10,15,1658,1700,2.5332,20,6.28,0.66,-3.98
3672.T,2025-06-25,GC,D,35,20,-15,15,25,-15,-10,15,71,79,11.2676,20,54.39,0.26,15.04
3909.T,2025-06-30,GC,D,0,-20,-15,-15,25,-10,-10,-10,320,337,5.3125,20,44.9,0.38,-0.1
9193.T,2025-06-25,GC,D,25,-20,20,-15,25,10,-10,15,901,924,2.5527,20,23.26,3.02,3.46
6027.T,2025-06-17,GC,C,50,20,-15,5,25,10,-10,15,3065,2950,-3.752,20,46.15,0.57,7.21
8985.T,2025-06-03,GC,A,93,20,0,15,25,10,8,15,74100,74800,0.9447,20,52.83,0.93,4.22
9441.T,2025-06-15,GC,B,65,20,0,15,25,0,-10,15,1900,2131,12.1579,20,60.47,0.84,11.5
8715.T,2025-06-25,GC,C,55,20,0,5,25,0,-10,15,691,736,6.5123,20,47.95,0.74,14.89
3854.T,2025-06-03,GC,B,65,20,0,15,25,0,-10,15,2650,2757,4.0377,20,68.32,0.81,13.44
8938.T,2025-06-19,GC,D,25,-20,20,5,25,-10,-10,15,673,657,-2.3774,20,45.23,2.58,0
7545.T,2025-06-11,GC,D,0,-20,0,-15,25,-10,-10,-10,2096,2153,2.7195,20,31.16,0.92,-0.42
5137.T,2025-06-04,GC,B,68,20,20,-5,25,-15,8,15,403.8,376,-6.8846,20,72.72,1.6,26.22
1975.T,2025-06-17,GC,D,33,20,-15,-5,25,-15,8,15,2425,2503,3.2165,20,77.66,0.68,16.18
4661.T,2025-06-16,GC,D,20,-20,-15,15,25,10,-10,15,3184,3016,-5.2764,20,52.77,0.57,1.56
2513.T,2025-06-12,GC,A,93,20,0,15,25,10,8,15,2592.5,2734.5,5.4773,20,62.02,0.86,4.5
4828.T,2025-06-05,GC,C,48,20,0,-5,25,-15,8,15,959,1014,5.7351,20,78.3,0.94,21.12
3687.T,2025-06-10,GC,B,60,20,10,15,25,-15,-10,15,2114,1937,-8.3728,20,65.26,1.08,18.04
3187.T,2025-06-10,GC,B,75,20,10,15,25,0,-10,15,382,358,-6.2827,20,56.6,1.34,9.71
6035.T,2025-06-04,GC,D,0,-20,-15,-15,25,-10,-10,-10,614,616,0.3257,20,31.79,0.28,-12.73
9982.T,2025-06-08,GC,B,60,20,-15,15,25,10,-10,15,1557,1560,0.1927,20,54.17,0.43,7.72
4893.T,2025-06-10,GC,B,78,20,20,15,0,0,8,15,176,175,-0.5682,20,65.85,4.7,11.19
8070.T,2025-06-25,GC,B,75,20,10,15,25,0,-10,15,783,810,3.4483,20,57.45,1.07,8.72
3121.T,2025-06-17,GC,B,78,20,10,15,25,-15,8,15,356,352,-1.1236,20,68.84,1.45,15.78
6856.T,2025-06-12,GC,B,65,10,0,15,25,10,-10,15,10165,10685,5.1156,20,53.64,0.88,2.73
7906.T,2025-06-10,GC,D,33,20,-15,-5,25,-15,8,15,2965,3030,2.1922,20,88.34,0.6,22.22
7865.T,2025-06-30,GC,D,0,-20,-15,-15,25,-10,-10,15,537,561,4.4693,20,22.83,0.58,-0.94
2750.T,2025-06-25,GC,C,48,20,0,-5,25,-15,8,15,1139,1130,-0.7902,20,80.06,0.92,26.21
5707.T,2025-06-26,GC,D,30,20,-15,-15,25,10,-10,15,668,752,12.5749,20,38.86,0.58,7.99
2330.T,2025-06-16,GC,B,60,10,20,15,25,10,-10,-10,162,173,6.7901,20,50,2,6.33
6370.T,2025-06-19,GC,C,45,-10,20,5,25,0,-10,15,5364,5515,2.8151,20,45.01,1.71,8.74
4889.T,2025-06-12,GC,D,33,20,-15,-5,25,-15,8,15,2097,2933,39.8665,20,72.13,0.51,65.1
7180.T,2025-06-05,GC,A,85,20,10,15,25,10,-10,15,729.5,733.1,0.4935,20,59.73,1.1,2.93
8572.T,2025-06-05,GC,C,45,20,0,-15,25,10,-10,15,416.4,421.5,1.2248,20,42.89,0.74,5.88
1592.T,2025-06-15,GC,B,65,10,0,15,25,10,-10,15,2335,2345,0.4283,20,50.66,0.86,2.88
8609.T,2025-06-11,GC,A,85,20,10,15,25,10,-10,15,683,683,0,20,67.14,1.04,4.34
2158.T,2025-06-15,GC,B,75,10,10,15,25,10,-10,15,627,576,-8.134,20,55.75,1.48,5.14
7003.T,2025-06-10,GC,C,50,20,0,15,25,-15,-10,15,2393,2711,13.2888,20,65.29,0.92,28.94
9644.T,2025-06-11,GC,C,50,-20,20,-5,25,0,15,15,737,766,3.9349,20,78.26,3.13,8.01
8133.T,2025-06-17,GC,C,48,20,-15,-5,25,0,8,15,1744,1842,5.6193,20,79.53,0.59,8.38
6224.T,2025-06-15,GC,A,85,20,20,15,25,0,-10,15,1102,1147,4.0835,20,54.85,1.62,8
5888.T,2025-06-11,GC,C,50,20,-15,15,25,0,-10,15,4535,3885,-14.333,20,56.5,0.42,13.86
4265.T,2025-06-12,GC,C,50,20,-15,15,25,0,-10,15,330,316,-4.2424,20,54.61,0.4,13.49
5816.T,2025-06-30,GC,D,0,-20,0,-15,25,-10,-10,15,958,1003,4.6973,20,21.88,0.71,-0.52
4403.T,2025-06-18,GC,D,30,20,0,-5,25,-15,-10,15,2730.5,2969,8.7347,20,79.08,0.83,22.34
4583.T,2025-06-30,GC,C,55,20,10,-15,25,10,-10,15,149,147,-1.3423,20,44.44,1.21,4.52
6775.T,2025-06-09,GC,D,15,-10,20,-15,25,-10,-10,15,123,122,-0.813,20,18.18,2.13,-4.68
2735.T,2025-06-17,GC,D,0,-20,-15,-15,25,-10,-10,15,698,690,-1.1461,20,21.43,0.68,-0.52
3908.T,2025-06-17,GC,A,85,20,20,5,25,10,-10,15,322,323,0.3106,20,47.22,6.67,4.79
5285.T,2025-06-11,GC,B,65,20,0,15,15,10,-10,15,1548,1850,19.509,20,69.63,0.74,4.91
3726.T,2025-06-24,GC,A,93,20,20,15,15,0,8,15,770,631,-18.0519,20,55.47,3.09,11.66
3640.T,2025-06-19,GC,D,35,20,-15,15,25,-15,-10,15,2467,3095,25.456,20,55.8,0.59,32.28
5105.T,2025-06-19,GC,C,40,20,-15,5,25,0,-10,15,2968,3107,4.6833,20,45.38,0.51,9.31
3607.T,2025-06-09,GC,C,58,20,-15,-5,25,10,8,15,337,354,5.0445,20,71.43,0.53,5.8
6963.T,2025-06-23,GC,B,75,20,20,-5,25,-15,15,15,1775,1889.5,6.4507,20,76.11,3.61,21.91
3910.T,2025-06-15,GC,D,10,-20,-15,5,25,10,-10,15,321,310,-3.4268,20,48.48,0.07,2.09
7267.T,2025-06-09,GC,D,0,-20,-15,5,25,-10,-10,-10,1400,1422,1.5714,20,46,0.57,-0.92
9249.T,2025-06-04,GC,A,93,10,20,15,15,10,8,15,1550,1515,-2.2581,20,62.3,2.31,2.97
246A.T,2025-06-23,GC,B,68,20,-15,15,25,0,8,15,764,783,2.4869,20,56.44,0.39,8.63
4570.T,2025-06-29,GC,D,0,-10,-15,-15,25,10,-10,15,499,508,1.8036,20,34.92,0.55,1.39
188A.T,2025-06-03,GC,D,20,10,-15,-15,25,10,-10,15,921,945,2.6059,20,37.75,0.43,2.02
9254.T,2025-06-26,GC,D,38,-20,-15,15,25,10,8,15,1423,1435,0.8433,20,56.38,0.21,4.82
7590.T,2025-06-16,GC,D,20,-20,-15,15,25,10,-10,15,412,426,3.3981,20,61.11,0.61,1.19
8133.T,2025-06-26,GC,A,85,20,10,15,25,10,-10,15,1716,1942,13.1702,20,55.56,1.39,5.8
7727.T,2025-06-25,GC,B,65,20,0,15,25,0,-10,15,456,470,3.0702,20,51.43,0.84,8.66
4598.T,2025-06-09,GC,C,43,20,-15,15,0,0,8,15,602,751,24.7508,20,67.34,0.54,11
9254.T,2025-06-11,GC,C,40,10,-15,5,25,10,-10,15,1377,1395,1.3072,20,48.85,0.12,1.72
156A.T,2025-06-18,GC,C,48,20,-15,-5,25,0,8,15,779,733,-5.905,20,72.22,0.61,13.33
9204.T,2025-06-19,GC,D,0,-10,10,-15,25,-10,-10,-10,505,473,-6.3366,20,40.63,1.05,-0.5
2332.T,2025-06-26,GC,B,78,20,-15,15,25,10,8,15,1445,1491,3.1834,20,68.94,0.7,7.63
3537.T,2025-06-25,GC,D,5,-20,20,-15,25,-10,-10,15,1619,1639,1.2353,20,26.56,2.65,-4.1
6155.T,2025-06-05,GC,C,55,20,0,-5,25,10,-10,15,478,481,0.6276,20,70.31,0.98,3.48
7614.T,2025-06-11,GC,A,100,20,20,15,25,10,8,15,1533,1491,-2.7397,20,65.41,3.74,5.44
6590.T,2025-06-19,GC,C,53,20,-15,15,25,-15,8,15,1800,2128,18.2222,20,63.14,0.57,23.49
1322.T,2025-06-22,GC,D,0,-20,-15,15,0,10,8,-10,8358,9039,8.1479,20,62.61,0.41,1.11
4246.T,2025-06-03,GC,B,63,20,10,-15,15,10,8,15,635,645,1.5748,20,43.04,1.06,5.74
6289.T,2025-06-26,GC,D,25,0,10,-15,15,10,-10,15,1433,1426,-0.4885,20,43.71,1.47,0.41
6525.T,2025-06-26,GC,B,78,20,10,15,25,-15,8,15,3453,3410,-1.2453,20,65.81,1.32,22.74
2250.T,2025-06-09,GC,B,60,20,-15,15,25,10,-10,15,248.9,250.4,0.6027,20,58.27,0.46,3.89
5587.T,2025-06-05,GC,D,35,20,-15,15,25,-15,-10,15,894,892,-0.2237,20,57.39,0.14,17.34
6436.T,2025-06-22,GC,B,75,10,10,15,25,10,-10,15,4381,4492,2.5337,20,66.01,1.14,7.12
3909.T,2025-06-18,GC,D,0,10,-15,-15,0,-10,-10,-10,322,336,4.3478,20,40.48,0.63,-0.36
5868.T,2025-06-24,GC,A,90,20,20,-5,25,0,15,15,977,934,-4.4012,20,71.33,3.52,13.42
9201.T,2025-06-11,GC,C,45,20,0,-5,25,0,-10,15,2915.5,2954,1.3205,20,74.02,0.86,9.27
4722.T,2025-06-17,GC,C,58,20,10,-5,25,-15,8,15,2282,2235,-2.0596,20,86.69,1.11,20.14
6676.T,2025-06-29,GC,C,40,10,-15,5,25,10,-10,15,1145.5,1148.5,0.2619,20,49.21,0.51,5.2
8085.T,2025-06-19,GC,C,50,20,-15,15,25,0,-10,15,3275,3190,-2.5954,20,57.14,0.42,9.94
1382.T,2025-06-11,GC,D,33,20,-15,-5,0,10,8,15,1821,1859,2.0868,20,72.6,0.09,3.08
6210.T,2025-06-23,GC,D,20,10,10,-15,25,10,-10,-10,607,617,1.6474,20,36.84,1.11,0.17
3266.T,2025-06-22,GC,A,100,20,10,15,25,10,8,15,83,83,0,20,53.85,1.14,5.28
1890.T,2025-06-03,GC,C,58,20,-15,-5,25,10,8,15,1448,1452,0.2762,20,70.68,0.49,7.8
2686.T,2025-06-29,GC,B,63,10,0,-5,25,10,8,15,287,289,0.6969,20,72.22,0.89,3.84
5013.T,2025-06-22,GC,D,25,0,20,-15,25,-10,-10,15,1916,2133,11.3257,20,36.53,2.62,-1.06
9223.T,2025-06-08,GC,B,73,10,10,-5,25,10,8,15,622,596,-4.1801,20,79.31,1.41,7.65
8075.T,2025-06-10,GC,B,75,20,0,15,25,10,-10,15,1947,2022,3.8521,20,52.17,0.9,1.32
9744.T,2025-06-30,GC,D,35,-10,20,-15,25,10,-10,15,3176,3206,0.9446,20,38.72,1.54,4.12
3968.T,2025-06-16,GC,C,45,-20,10,15,25,10,-10,15,508,506,-0.3937,20,51.85,1.38,2.85
2081.T,2025-06-11,GC,B,60,20,-15,15,25,10,-10,15,1334,1353,1.4243,20,67.71,0.26,5.04
4438.T,2025-06-24,GC,C,50,20,-15,5,25,10,-10,15,366,358,-2.1858,20,48.39,0.32,6.39
3529.T,2025-06-12,GC,B,60,20,-15,15,25,10,-10,15,1122,1257,12.0321,20,57.29,0.42,5.28
9115.T,2025-06-12,GC,A,85,20,20,15,25,0,-10,15,689,667,-3.193,20,58.95,2.46,9.9
6877.T,2025-06-03,GC,C,45,20,0,-15,25,10,-10,15,3500,3565,1.8571,20,32.76,0.71,2.99
3498.T,2025-06-24,GC,C,50,20,-15,15,25,0,-10,15,6955,8905,28.0374,20,61.21,0.68,8.69
1835.T,2025-06-12,GC,C,58,20,10,-5,25,-15,8,15,3695,4025,8.931,20,76.4,1.06,15.43
4263.T,2025-06-05,GC,D,30,20,20,-15,15,10,-10,-10,583,604,3.6021,20,43.62,2.01,1.56
7938.T,2025-06-18,GC,C,40,0,10,15,25,10,-10,-10,2420,2404,-0.6612,20,54.1,1.09,0.16
1885.T,2025-06-17,GC,B,65,10,10,15,25,0,-10,15,1496,1747,16.7781,20,56.41,1.07,8.02
6357.T,2025-06-22,GC,D,30,10,-15,5,25,0,-10,15,1480,1590,7.4324,20,46.22,0.63,9.2
6345.T,2025-06-16,GC,C,55,-10,10,15,25,10,-10,15,1371,1353,-1.3129,20,55.96,1.23,1.46
153A.T,2025-06-10,GC,B,75,20,20,-5,25,-15,15,15,1668,1643,-1.4988,20,72.86,2.88,42.36
184A.T,2025-06-10,GC,C,58,20,10,-5,25,-15,8,15,800,568,-29,20,82.01,1.5,74.66
1657.T,2025-06-04,GC,D,25,20,-15,15,15,10,-10,-10,5224,5423,3.8093,20,52.93,0.36,3.33
7851.T,2025-06-08,GC,C,40,10,-15,5,25,10,-10,15,252,249,-1.1905,20,46.81,0.25,2.28
2195.T,2025-06-22,GC,B,68,20,-15,15,25,0,8,15,349,392,12.3209,20,66.18,0.59,11.59
4926.T,2025-06-19,GC,D,20,10,-15,-15,25,10,-10,15,1129,1142,1.1515,20,41.94,0.31,0.21
2632.T,2025-06-26,GC,C,40,10,-15,15,25,0,-10,15,14125,14680,3.9292,20,63.58,0.21,9.71
7817.T,2025-06-24,GC,D,35,10,0,-15,25,10,-10,15,2553,2573,0.7834,20,38.51,0.81,3.71
5071.T,2025-06-18,GC,D,5,-20,0,-15,25,10,-10,15,1248,1280,2.5641,20,43.59,0.93,1.47
2237.T,2025-06-16,GC,A,85,20,20,15,25,0,-10,15,83910,89810,7.0313,20,59.87,1.74,8.92
3086.T,2025-06-04,GC,B,65,20,0,15,15,10,-10,15,2030.5,1978.5,-2.5609,20,63.96,0.7,7.55
3660.T,2025-06-16,GC,C,40,20,-15,5,25,0,-10,15,534,551,3.1835,20,47.24,0.64,11.71
8595.T,2025-06-16,GC,B,65,10,10,15,25,0,-10,15,2453,2457,0.1631,20,61.26,1.06,8.1
8558.T,2025-06-23,GC,D,15,-10,0,-15,25,10,-10,15,697,752,7.891,20,43.21,0.8,6.89
3659.T,2025-06-08,GC,C,50,20,0,15,25,-15,-10,15,2605,2825.5,8.4645,20,59.9,0.73,17.31
299A.T,2025-06-09,GC,B,68,20,0,15,25,-15,8,15,1775,1735,-2.2535,20,59.93,0.83,45.5
6087.T,2025-06-22,GC,C,55,0,0,15,25,10,-10,15,3240,3290,1.5432,20,50,0.75,2.01
7717.T,2025-06-23,GC,D,30,20,10,-15,25,-15,-10,15,3045,2837,-6.8309,20,40.38,1,21.38
